[242, 38, 242, 0, -8, 255, 255]
[20, 19, 31, 0, -8, 255, 255]
[0, 0, 32, 1, -7, 19, 28]
[27, -3, 19, 0, -9, 72, 55]
[29, -3, 242, 244, -12, 255, 57]
[11, 20, 17, 244, 29, 33, 33]
[21, 91, 242, 25, 24, 41, 34]
[38, 39, 242, 0, -8, 255, 255]
[21, 19, 33, 1, -7, 255, 255]
[0, -1, 31, 1, -7, 19, 28]
[29, -3, 242, -3, 237, 76, 55]
[28, -3, 242, 10, -12, 77, 55]
[242, 88, 242, 19, 14, 41, 40]
[12, 111, 1, 12, 21, 59, 44]
[242, 88, 242, 1, 1, 42, 42]
[242, 38, 242, 0, -8, 255, 255]
[20, 19, 242, 1, -7, 255, 255]
[0, 0, 33, 1, -7, 19, 29]
[29, -4, 22, -3, -11, 76, 55]
[28, -2, 242, 244, -12, 63, 55]
[6, 6, 8, 244, 237, 19, 18]
